"","ID","HOME_AIRPORT_ID","LAT1","LON1","CODE","FLIGHT_TYPE_ID","FLIGHT_NATURE_ID","PORT_AIRPORT_ID","LAT2","LON2","DESCRIPTION1","FLYING_TIME","LAT1c","LON1c","LAT2c","LON2c","distanza"
"89",4642,2933,"27:51:39:S","28:14:46:E","BAB",2,2,1855,"5:15:41:N","4:4:25:W","BRAZZAVILLE / ABIDJAN",0,-27.8608333333333,28.2461111111111,5.26138888888889,-4.07361111111111,5057.49079666046
"90",4684,2933,"27:51:39:S","28:14:46:E","ABJ",2,3,1855,"5:15:41:N","4:4:25:W","ABIDJAN",0,-27.8608333333333,28.2461111111111,5.26138888888889,-4.07361111111111,5057.49079666046
"91",4685,2933,"27:51:39:S","28:14:46:E","ABK",2,1,1855,"5:15:41:N","4:4:25:W","KINSHASA / ABIDJAN",0,-27.8608333333333,28.2461111111111,5.26138888888889,-4.07361111111111,5057.49079666046
"92",12401,2933,"27:51:39:S","28:14:46:E","ABL",2,1,1855,"5:15:41:N","4:4:25:W","LAGOS / ABIDJAN",10,-27.8608333333333,28.2461111111111,5.26138888888889,-4.07361111111111,5057.49079666046
"93",12421,2933,"27:51:39:S","28:14:46:E","LBJ",2,2,1855,"5:15:41:N","4:4:25:W","LAGOS / ABIDJAN",10,-27.8608333333333,28.2461111111111,5.26138888888889,-4.07361111111111,5057.49079666046
"94",4386,2933,"27:51:39:S","28:14:46:E","DLA",2,3,1857,"4:0:22:N","9:43:10:E","DOUALA",0,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"95",4409,2933,"27:51:39:S","28:14:46:E","BBD",2,2,1857,"4:0:22:N","9:43:10:E","BRAZZAVILLE / LIBREVILLE / DOUALA",0,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"96",4418,2933,"27:51:39:S","28:14:46:E","DLB",2,1,1857,"4:0:22:N","9:43:10:E","BRAZZAVILLE / DOUALA",0,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"97",4439,2933,"27:51:39:S","28:14:46:E","LDU",2,2,1857,"4:0:22:N","9:43:10:E","LIBREVILLE / DOUALA",0,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"98",4440,2933,"27:51:39:S","28:14:46:E","DUL",2,1,1857,"4:0:22:N","9:43:10:E","LIBREVILLE / DOUALA",0,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"99",4453,2933,"27:51:39:S","28:14:46:E","KDO",2,2,1857,"4:0:22:N","9:43:10:E","KINSHASA / DOUALA",0,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"100",4484,2933,"27:51:39:S","28:14:46:E","HRD",2,2,1857,"4:0:22:N","9:43:10:E","HARARE / DOUALA",0,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"101",4549,2933,"27:51:39:S","28:14:46:E","DKH",2,1,1857,"4:0:22:N","9:43:10:E","HARARE / DOUALA / KINSHASA",0,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"102",4590,2933,"27:51:39:S","28:14:46:E","BZD",2,2,1857,"4:0:22:N","9:43:10:E","BRAZZAVILLE / DOUALA",0,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"103",4713,2933,"27:51:39:S","28:14:46:E","DUA",2,3,1857,"4:0:22:N","9:43:10:E","DOUALA",300,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"104",10641,2933,"27:51:39:S","28:14:46:E","DBF",2,1,1857,"4:0:22:N","9:43:10:E","KINSHASA / DOUALA / BRAZZAVILLE",0,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"105",11981,2933,"27:51:39:S","28:14:46:E","DLS",2,3,1857,"4:0:22:N","9:43:10:E","MALABO / DOUALA",0,-27.8608333333333,28.2461111111111,4.00611111111111,9.71944444444444,4061.6711480763
"106",4769,2933,"27:51:39:S","28:14:46:E","YAO",2,3,1858,"3:50:10:N","11:31:25:E","YAOUNDE INSIMALEN",0,-27.8608333333333,28.2461111111111,3.83611111111111,11.5236111111111,3953.78926947943
"107",4481,2933,"27:51:39:S","28:14:46:E","HAV",2,3,1863,"22:59:21:N","83:35:27:W","HAVANA",0,-27.8608333333333,28.2461111111111,22.9891666666667,-83.5908333333333,13235.4022577602
"108",4618,2933,"27:51:39:S","28:14:46:E","SID",2,3,1864,"16:44:29:N","23:3:2:W","AMILCAR CABRAL INTERNATIONAL",10,-27.8608333333333,28.2461111111111,16.7413888888889,-23.0505555555556,7422.13002300012
"109",7480,2933,"27:51:39:S","28:14:46:E","CIAT",2,2,1864,"16:44:29:N","23:3:2:W","CAPE TOWN / ATLANTA / ILHA DO SAL",10,-27.8608333333333,28.2461111111111,16.7413888888889,-23.0505555555556,7422.13002300012
"110",4426,2933,"27:51:39:S","28:14:46:E","LFR",2,2,1872,"50:1:35:N","8:32:35:E","LONDON / FRANKFURT",0,-27.8608333333333,28.2461111111111,50.0263888888889,8.54305555555556,8876.59902123161
"111",4459,2933,"27:51:39:S","28:14:46:E","FRA",2,3,1872,"50:1:35:N","8:32:35:E","FRANKFURT",640,-27.8608333333333,28.2461111111111,50.0263888888889,8.54305555555556,8876.59902123161
"112",4716,2933,"27:51:39:S","28:14:46:E","FRP",2,2,1872,"50:1:35:N","8:32:35:E","FRANKFURT",0,-27.8608333333333,28.2461111111111,50.0263888888889,8.54305555555556,8876.59902123161
"113",13757,2933,"27:51:39:S","28:14:46:E","FRNB",2,3,1872,"50:1:35:N","8:32:35:E","FRANKFURT / NAIROBI",10,-27.8608333333333,28.2461111111111,50.0263888888889,8.54305555555556,8876.59902123161
"114",13779,2933,"27:51:39:S","28:14:46:E","FRUT",2,3,1872,"50:1:35:N","8:32:35:E","FRANKFURT / UPINGTON",10,-27.8608333333333,28.2461111111111,50.0263888888889,8.54305555555556,8876.59902123161
"115",4714,2933,"27:51:39:S","28:14:46:E","DUS",2,3,1873,"51:17:22:N","6:46:0:E","DUSSELDORF",0,-27.8608333333333,28.2461111111111,51.2894444444444,6.76666666666667,9049.33887200166
"116",4742,2933,"27:51:39:S","28:14:46:E","MUC",2,3,1910,"48:8:16:N","11:41:25:E","MUNICH",0,-27.8608333333333,28.2461111111111,48.1377777777778,11.6902777777778,8610.77735122111
"117",4457,2933,"27:51:39:S","28:14:46:E","COF",2,1,1925,"55:37:4:N","12:39:22:E","FRANKFURT / COPENHAGEN KASTRUP",0,-27.8608333333333,28.2461111111111,55.6177777777778,12.6561111111111,9400.06363873687
"118",4558,2933,"27:51:39:S","28:14:46:E","FRC",2,2,1925,"55:37:4:N","12:39:22:E","FRANKFURT / COPENHAGEN KASTRUP",0,-27.8608333333333,28.2461111111111,55.6177777777778,12.6561111111111,9400.06363873687
"119",4791,2933,"27:51:39:S","28:14:46:E","CPH",2,2,1925,"55:37:4:N","12:39:22:E","COPENHAGEN",0,-27.8608333333333,28.2461111111111,55.6177777777778,12.6561111111111,9400.06363873687
